Age,Gender,Race,Featurs
100,0,0,250.79485101882142
100,0,0,254.46574678248038
100,1,0,260.53211465762104
100,1,0,261.63805712719375
100,1,0,196.37063070704153
100,1,0,250.77893367252932
100,1,2,261.26915470018196
100,1,2,237.1213169368985
101,0,0,258.4332050072354
103,0,2,256.56600983250274
105,0,0,265.27199912839717
105,1,0,251.14244001003237
105,1,0,261.0481638683299
105,1,0,257.0395927919621
105,1,1,236.24207366094674
10,0,0,229.423091462944
10,0,0,222.30717560379014
10,0,0,243.51685342180912
10,0,0,237.80667640827932
10,0,0,227.93872451760467
10,0,2,220.9728421299571
10,1,1,246.92382843478998
10,1,2,248.9567533502083
10,1,3,221.56273662912574
10,1,3,236.08056679340467
10,1,4,240.32022464805584
110,0,0,262.31383591715013
110,0,2,260.51169447523205
115,1,1,255.34586302165235
116,1,0,253.3976816717369
116,1,2,246.16355706962332
11,1,1,265.7406125172068
12,0,0,234.9678111953107
12,0,0,239.05172929930518
12,0,0,239.4799193779047
12,0,0,228.37103889421758
12,0,0,226.2460735427677
12,0,0,220.6383529249277
12,0,3,243.09903900004878
12,1,0,239.47599115031852
12,1,0,239.57220601908034
12,1,0,223.0461952395625
12,1,0,252.8893243473736
12,1,0,254.99392052712375
12,1,1,215.0883355416216
12,1,1,232.64118737239966
12,1,1,247.6398332385299
12,1,2,229.6956740778361
12,1,2,224.19051905218635
12,1,2,238.21019758301946
12,1,2,226.08143514318618
12,1,2,247.54549682220033
12,1,3,223.76095368030013
12,1,3,214.55173607974308
12,1,3,243.11292180635868
12,1,4,210.1703779763235
13,0,1,211.10554210138633
13,0,2,218.21767243713117
13,1,3,243.792114843639
13,1,4,236.95856229016306
14,0,0,236.89419283898093
14,0,0,209.4512260902856
14,0,0,231.4095453984752
14,0,1,250.35201032581804
14,0,1,219.78982567751513
14,0,1,203.31236461204003
14,0,1,249.0680076515726
14,0,1,238.85305609824377
14,0,3,233.2512954514849
14,0,4,249.56515740022115
14,0,4,221.53262788042406
14,0,4,206.0040371464791
14,0,4,212.05807094972243
14,1,0,231.09951912191028
14,1,1,227.75223252749944
14,1,1,251.89252680725576
14,1,1,254.6069775623831
15,0,0,208.61794746240585
15,0,0,253.02029465553306
15,0,0,253.55644028521215
15,0,0,227.3065096734405
15,0,0,252.29567101312298
15,0,0,234.9373068699344
15,0,0,237.49235842382075
15,0,0,227.38153702743705
15,0,0,234.80771811739152
15,0,0,225.887459097348
